school,sex,age,address,attendence,marks,Fedu,Mjob,Fjob,guardian,failures,schoolsup,paid,activities,nursery,higher,goout
GP,F,18,U,A,4,4,at_home,teacher,mother,0,yes,no,no,yes,yes,4
GP,F,17,U,T,4,1,at_home,other,father,0,no,no,no,no,yes,3
GP,F,15,U,T,4,1,at_home,other,mother,3,yes,yes,no,yes,yes,2
GP,F,15,U,T,4,2,health,services,mother,0,no,yes,yes,yes,yes,2
GP,F,16,U,T,4,3,other,other,father,0,no,yes,no,yes,yes,2
GP,M,16,U,T,4,3,services,other,mother,0,no,yes,yes,yes,yes,2
GP,M,16,U,T,4,2,other,other,mother,0,no,no,no,yes,yes,4
GP,F,17,U,A,4,4,other,teacher,mother,0,yes,no,no,yes,yes,4
GP,M,15,U,A,4,2,services,other,mother,0,no,yes,no,yes,yes,2
GP,M,15,U,T,4,4,other,other,mother,0,no,yes,yes,yes,yes,1
GP,F,15,U,T,4,4,teacher,health,mother,0,no,yes,no,yes,yes,3
GP,F,15,U,T,4,1,services,other,father,0,no,no,yes,yes,yes,2
GP,M,15,U,T,4,4,health,services,father,0,no,yes,yes,yes,yes,3
GP,M,15,U,T,4,3,teacher,other,mother,0,no,yes,no,yes,yes,3
GP,M,15,U,A,4,2,other,other,other,0,no,no,no,yes,yes,2
GP,F,16,U,T,4,4,health,other,mother,0,no,no,no,yes,yes,4
GP,F,16,U,T,4,4,services,services,mother,0,no,yes,yes,yes,yes,3
GP,F,16,U,T,4,3,other,other,mother,0,yes,no,yes,yes,yes,2
GP,M,17,U,T,4,2,services,services,mother,3,no,no,yes,yes,yes,5
GP,M,16,U,T,4,3,health,other,father,0,no,yes,yes,yes,yes,3
GP,M,15,U,T,4,3,teacher,other,mother,0,no,no,no,yes,yes,1
GP,M,15,U,T,4,4,health,health,father,0,no,yes,no,yes,yes,2
GP,M,16,U,T,4,2,teacher,other,mother,0,no,no,yes,yes,yes,1
GP,M,16,U,T,4,2,other,other,mother,0,no,no,yes,yes,yes,4
GP,F,15,R,T,4,4,services,health,mother,0,yes,yes,yes,yes,yes,2
GP,F,16,U,T,4,2,services,services,mother,2,no,yes,no,no,yes,2
GP,M,15,U,T,4,2,other,other,mother,0,no,yes,no,yes,yes,2
GP,M,15,U,T,4,2,health,services,mother,0,no,yes,no,yes,yes,4
GP,M,16,U,A,4,4,services,other,mother,0,yes,no,yes,yes,yes,3
GP,M,16,U,T,4,4,teacher,teacher,mother,0,no,yes,yes,yes,yes,5
GP,M,15,U,T,4,4,health,services,mother,0,no,yes,no,no,yes,2
GP,M,15,U,T,4,4,services,services,mother,0,no,no,yes,yes,yes,1
GP,M,15,R,T,4,3,teacher,at_home,mother,0,no,no,yes,yes,yes,2
GP,M,15,U,T,4,3,other,other,mother,0,no,no,yes,no,yes,2
GP,M,16,U,T,4,2,other,other,mother,0,no,yes,no,no,yes,3
GP,F,15,U,T,4,3,other,other,father,0,no,no,yes,yes,yes,1
GP,M,15,U,T,4,3,teacher,services,mother,0,no,no,yes,yes,yes,3
GP,M,16,R,A,4,4,other,teacher,mother,0,no,no,yes,yes,yes,3
GP,F,15,R,T,4,4,services,health,mother,0,yes,yes,yes,yes,yes,2
GP,F,15,R,T,4,2,at_home,other,mother,0,yes,yes,yes,yes,yes,1
GP,F,16,U,T,4,2,other,other,mother,1,no,no,yes,no,yes,3
GP,M,15,U,T,4,4,teacher,other,other,0,no,no,no,no,yes,3
GP,M,15,U,T,4,4,services,teacher,father,0,no,no,yes,yes,yes,3
GP,M,15,U,T,4,2,services,services,father,0,yes,no,no,yes,yes,1
GP,F,16,U,T,4,2,other,at_home,father,1,yes,no,yes,yes,yes,3
